impcParameterOrigId,parameter_name,description,parameter_id
29787,Anticoagulant,Anticoagulant,IMPC_HEM_014_001
29788,Samples kept on ice between collection and analysis,Samples Kept On Ice Between Collection And Analysis,IMPC_HEM_018_001
29789,ID for blood collection SOP,Id For Blood Collection Sop,IMPC_HEM_020_001
29790,Date and time of blood collection,Date And Time Of Blood Collection,IMPC_HEM_021_001
29791,Chip card number,Chip Card Number,IMPC_HEM_023_001
29792,Blood collection experimenter ID,"",IMPC_HEM_024_001
29793,Date equipment last calibrated,"",IMPC_HEM_025_001
29794,Storage temperature from blood collection until measurement,"",IMPC_HEM_026_001
29795,Blood collection tubes,"",IMPC_HEM_015_001
29796,Date and time of sacrifice,"",IMPC_HEM_016_001
29797,Blood analysis experimenter ID,"",IMPC_HEM_017_001
29798,Mean platelet volume,"",IMPC_HEM_019_001
29799,Red blood cell distribution width,"",IMPC_HEM_027_001
29800,Fight wounds,"",IMPC_HEM_028_001
29801,Neutrophil differential count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_029_001
29802,Neutrophil cell count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_030_001
29803,Lymphocyte differential count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_031_001
29804,Lymphocyte cell count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_032_001
29805,Monocyte differential count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_033_001
29806,Monocyte cell count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_034_001
29807,Eosinophil differential count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_035_001
29808,Eosinophil cell count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_036_001
29809,Basophil cell count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_037_001
29810,Basophil differential count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_038_001
29811,Large Unstained Cell (LUC) count,A White Blood Cell (Wbc) Count Measures The Number Of White Blood Cells In Your Blood. A Wbc Differential Determines The Percentage Of Each Type Of White Blood Cell Present In Your Blood. A Differential Can Also Detect Immature White Blood Cells Or Any Abnormalities Both Of Which Are Signs Of A Potential Problem.,IMPC_HEM_039_001
29812,Large Unstained Cell (LUC) differential count,"",IMPC_HEM_040_001
29813,Sample clotted,"",IMPC_HEM_041_001
29814,Service-related calibration start date,Harwell-Required Metadata Parameter (Req Analysis) Due To Advia Analyser Causing Shift In Data.,IMPC_HEM_042_001
29815,LIH (Hemolysis Severity - available on AU analysers),Copied From The Same Parameter In Clinical Blood Chemistry As The Same Blood Samples Are Used For Both Procedures And The Level Of Hemolysis Has An Effect On The Results Of Hematology As Well As Cbc,IMPC_HEM_043_001
38988,Submitter ID,Submitter Id,IMPC_EXD_001_001
38989,Name of phenotyping project,Name Of Phenotyping Project,IMPC_EXD_002_001
38990,Name of pipeline,Name Of Pipeline,IMPC_EXD_003_001
38991,Start date,Start Date,IMPC_EXD_004_001
38992,End date,End Date,IMPC_EXD_005_001
38993,Control design,Control Design,IMPC_EXD_006_001
38994,Frequency of controls,Frequency Of Controls,IMPC_EXD_007_001
38995,Number male controls,Number Male Controls,IMPC_EXD_008_001
38996,Number female controls,Number Female Controls,IMPC_EXD_009_001
38997,Genetic background,Genetic Background,IMPC_EXD_010_001
38998,Controls and knockout same source,Controls And Knockout Same Source,IMPC_EXD_011_001
38999,Control animal production location,Control Animal Source,IMPC_EXD_012_001
39000,Core colony source,Core Colony Source,IMPC_EXD_013_001
39001,Core stock strategy,Core Stock Strategy,IMPC_EXD_014_001
39002,Knockout batch strategy,Knockout Batch Strategy,IMPC_EXD_015_001
39003,Blinding  - Body Weight,Blinding Body Weight,IMPC_EXD_016_001
39004,Blinding  - CSD,Blinding Csd,IMPC_EXD_017_001
39005,Blinding  - Grip strength,Blinding Grip Strength,IMPC_EXD_018_001
39006,Blinding  - Acoustic startle,Blinding Acoustic Startle,IMPC_EXD_019_001
39007,Blinding  - Calorimetry,Blinding Calorimetry,IMPC_EXD_020_001
39008,Blinding  - IPGTT,Blinding Ipgtt,IMPC_EXD_021_001
39009,Blinding  - ABR collection,Blinding Abr Collection,IMPC_EXD_022_001
39010,Blinding  - ABR annotation,Blinding Abr Annotation,IMPC_EXD_023_001
39011,Blinding  - DEXA,Blinding Dexa,IMPC_EXD_024_001
39012,Blinding  - X-ray imaging,Blinding X Ray Imaging,IMPC_EXD_025_001
39013,Blinding  - X-ray annotation,Blinding X Ray Annotation,IMPC_EXD_026_001
39014,Blinding  - Slit lamp collection,Blinding Slit Lamp Collection,IMPC_EXD_027_001
39015,Blinding  - Slit lamp annotation,Blinding Slit Lamp Annotation,IMPC_EXD_028_001
39016,Blinding  - Ophthalmoscope collection,Blinding Ophthalmoscope Collection,IMPC_EXD_029_001
39017,Blinding  - Ophthalmoscope annotation,Blinding Ophthalmoscope Annotation,IMPC_EXD_030_001
39018,Blinding  - Hematology,Blinding Hematology,IMPC_EXD_031_001
39019,Blinding  - Clinical chemistry,Blinding Clinical Chemistry,IMPC_EXD_032_001
39020,Blinding  - Insulin,Blinding Insulin,IMPC_EXD_033_001
39021,Blinding  - Immunophenotyping collection,Blinding Immunophenotyping Collection,IMPC_EXD_034_001
39022,Blinding  - Immunophenotyping annotation,Blinding Immunophenotyping Annotation,IMPC_EXD_035_001
39023,Blinding  - Heart weight,Blinding Heart Weight,IMPC_EXD_036_001
39024,Blinding  - Open field,Blinding Open Field,IMPC_EXD_037_001
39025,Blinding  - Gross pathology collection,Blinding Gross Pathology Collection,IMPC_EXD_038_001
39026,Blinding  - Gross pathology annotation,Blinding Gross Pathology Annotation,IMPC_EXD_039_001
39027,Blinding - ECG,Blinding Ecg,IMPC_EXD_040_001
39028,Blinding  - Echo,Blinding Echo,IMPC_EXD_041_001
39029,Blinding  - Plethysmography,Blinding Plethysmography,IMPC_EXD_042_001
39030,Blinding  - Adult Lac Z collection,Blinding Adult Lac Z Collection,IMPC_EXD_043_001
39031,Blinding  - Adult Lac Z annotation,Blinding Adult Lac Z Annotation,IMPC_EXD_044_001
39032,Blinding  - Embryo Lac Z collection,Blinding Embryo Lac Z Collection,IMPC_EXD_045_001
39033,Blinding  - Embryo Lac Z annotation,Blinding Embryo Lac Z Annotation,IMPC_EXD_046_001
39034,Instrumentation effects - Body weight,Instrumentation Effects Body Weight,IMPC_EXD_047_001
39035,Instrumentation effects - Heart weight,Instrumentation Effects Heart Weight,IMPC_EXD_048_001
39036,Instrumentation effects - Grip strength,Instrumentation Effects Grip Strength,IMPC_EXD_049_001
39037,Instrumentation effects - Acoustic startle,Instrumentation Effects Acoustic Startle,IMPC_EXD_050_001
39038,Instrumentation effects - Calorimetry,Instrumentation Effects Calorimetry,IMPC_EXD_051_001
39039,Instrumentation effects - IPGTT,Instrumentation Effects Ipgtt,IMPC_EXD_052_001
39040,Instrumentation effects - ABR,Instrumentation Effects Abr,IMPC_EXD_053_001
39041,Instrumentation effects - DEXA,Instrumentation Effects Dexa,IMPC_EXD_054_001
39042,Instrumentation effects - Slit lamp,Instrumentation Effects Slit Lamp,IMPC_EXD_055_001
39043,Instrumentation effects - Ophthalmoscope,Instrumentation Effects Ophthalmoscope,IMPC_EXD_056_001
39044,Instrumentation effects - Hematology,Instrumentation Effects Hematology,IMPC_EXD_057_001
39045,Instrumentation effects - Clinical chemistry,Instrumentation Effects Clinical Chemistry,IMPC_EXD_058_001
39046,Instrumentation effects - Immunophenotyping,Instrumentation Effects Immunophenotyping,IMPC_EXD_059_001
39047,Instrumentation effects - Open field,Instrumentation Effects Open Field,IMPC_EXD_060_001
39048,Instrumentation effects - ECG,Instrumentation Effects Ecg,IMPC_EXD_061_001
39049,Instrumentation effects - Echo,Instrumentation Effects Echo,IMPC_EXD_062_001
39050,Instrumentation effects - Plethysmography,Instrumentation Effects Plethysmography,IMPC_EXD_063_001
39051,Instrumentation effects - Gross pathology,Instrumentation Effects Gross Pathology,IMPC_EXD_064_001
39052,Instrumentation effects - Insulin,Instrumentation Effects Insulin,IMPC_EXD_065_001
39053,Instrumentation effects - Embryo Lac Z,Instrumentation Effects Embryo Lac Z,IMPC_EXD_066_001
39054,Instrumentation effects - Adult Lac Z,Instrumentation Effects Adult Lac Z,IMPC_EXD_067_001
39055,Instrumentation effects - X-ray,Instrumentation Effects X Ray,IMPC_EXD_068_001
39056,Operator effects - Body weight,Operator Effects Body Weight,IMPC_EXD_069_001
39057,Operator effects - Open field,Operator Effects Open Field,IMPC_EXD_070_001
39058,Operator effects - CSD,Operator Effects Csd,IMPC_EXD_071_001
39059,Operator effects - Grip strength,Operator Effects Grip Strength,IMPC_EXD_072_001
39060,Operator effects - Acoustic startle,Operator Effects Acoustic Startle,IMPC_EXD_073_001
39061,Operator effects - Calorimetry,Operator Effects Calorimetry,IMPC_EXD_074_001
39062,Operator effects - IPGTT,Operator Effects Ipgtt,IMPC_EXD_075_001
39063,Operator effects - ABR collection,Operator Effects Abr Collection,IMPC_EXD_076_001
39064,Operator effects - ABR annotation,Operator Effects Abr Annotation,IMPC_EXD_077_001
39065,Operator effects - DEXA,Operator Effects Dexa,IMPC_EXD_078_001
39066,Operator effects - X-ray imaging,Operator Effects X Ray Imaging,IMPC_EXD_079_001
39067,Operator effects - X-ray annotation,Operator Effects X Ray Annotation,IMPC_EXD_080_001
39068,Operator effects - Slit lamp,Operator Effects Slit Lamp,IMPC_EXD_081_001
39069,Operator effects - Ophthalmoscope,Operator Effects Ophthalmoscope,IMPC_EXD_082_001
39070,Operator effects - Hematology,Operator Effects Hematology,IMPC_EXD_083_001
39071,Operator effects - Clinical chemistry,Operator Effects Clinical Chemistry,IMPC_EXD_084_001
39072,Operator effects - Immunophenotyping collection,Operator Effects Immunophenotyping Collection,IMPC_EXD_085_001
39073,Operator effects - Immunophenotyping analysis,Operator Effects Immunophenotyping Analysis,IMPC_EXD_086_001
39074,Operator effects - Heart weight,Operator Effects Heart Weight,IMPC_EXD_087_001
39075,Operator effects - Gross pathology collection,Operator Effects Gross Pathology Collection,IMPC_EXD_088_001
39076,Operator effects - Gross pathology annotation,Operator Effects Gross Pathology Annotation,IMPC_EXD_089_001
39077,Operator effects - ECG,Operator Effects Ecg,IMPC_EXD_090_001
39078,Operator effects - Echo,Operator Effects Echo,IMPC_EXD_091_001
39079,Operator effects - Plethysmography,Operator Effects Plethysmography,IMPC_EXD_092_001
39080,Operator effects - Insulin,Operator Effects Insulin,IMPC_EXD_093_001
39081,Operator effects - Embryo Lac Z collection,Operator Effects Embryo Lac Z Collection,IMPC_EXD_094_001
39082,Operator effects - Embryo Lac Z annotation,Operator Effects Embryo Lac Z Annotation,IMPC_EXD_095_001
39083,Operator effects - Adult Lac Z collection,Operator Effects Adult Lac Z Collection,IMPC_EXD_096_001
39084,Operator effects - Adult Lac Z annotation,Operator Effects Adult Lac Z Annotation,IMPC_EXD_097_001
39085,Time effects,Time Effects,IMPC_EXD_098_001
39086,Order effects - Body weight,Order Effects Body Weight,IMPC_EXD_099_001
39087,Order effects - CSD,Order Effects Csd,IMPC_EXD_100_001
39088,Order effects - Grip strength,Order Effects Grip Strength,IMPC_EXD_101_001
39089,Order effects - Acoustic startle,Order Effects Acoustic Startle,IMPC_EXD_102_001
39090,Order effects - Calorimetry,Order Effects Calorimetry,IMPC_EXD_103_001
39091,Order effects - IPGTT,Order Effects Ipgtt,IMPC_EXD_104_001
39092,Order effects - ABR collection,Order Effects Abr Collection,IMPC_EXD_105_001
39093,Order effects - ABR annotation,Order Effects Abr Annotation,IMPC_EXD_106_001
39094,Order effects - DEXA,Order Effects Dexa,IMPC_EXD_107_001
39095,Order effects - X-ray imaging,Order Effects X Ray Imaging,IMPC_EXD_108_001
39096,Order effects - X-ray annotation,Order Effects X Ray Annotation,IMPC_EXD_109_001
39097,Order effects - Slit lamp,Order Effects Slit Lamp,IMPC_EXD_110_001
39098,Order effects - Ophthalmoscope,Order Effects Ophthalmoscope,IMPC_EXD_111_001
39099,Order effects - Hematology,Order Effects Hematology,IMPC_EXD_112_001
39100,Order effects - Clinical chemistry,Order Effects Clinical Chemistry,IMPC_EXD_113_001
39101,Order effects - Immunophenotyping,Order Effects Immunophenotyping,IMPC_EXD_114_001
39102,Order effects - Heart weight,Order Effects Heart Weight,IMPC_EXD_115_001
39103,Order effects - Open field,Order Effects Open Field,IMPC_EXD_116_001
39104,Order effects - Gross pathology collection,Order Effects Gross Pathology Collection,IMPC_EXD_117_001
39105,Order effects - Gross pathology annotation,Order Effects Gross Pathology Annotation,IMPC_EXD_118_001
39106,Order effects - ECG,Order Effects Ecg,IMPC_EXD_119_001
39107,Order effects - Echo,Order Effects Echo,IMPC_EXD_120_001
39108,Order effects - Plethysmography,Order Effects Plethysmography,IMPC_EXD_121_001
39109,Order effects - Insulin,Order Effects Insulin,IMPC_EXD_122_001
39110,Order effects - Embryo Lac Z,Order Effects Embryo Lac Z,IMPC_EXD_123_001
39111,Order effects - Adult Lac Z,Order Effects Adult Lac Z,IMPC_EXD_124_001
39112,Subject selection - ABR,Subject Selection Abr,IMPC_EXD_125_001
39113,Subject selection - Gross pathology,Subject Selection Gross Pathology,IMPC_EXD_126_001
66104,Gene category,Type Of Gene Inheritance Pattern,IMPC_VIA_034_001
66105,Male parents genotype,Genotype Of Male Parent(S),IMPC_VIA_035_001
66106,Female parents genotype,Genotype Of Female Parent(S),IMPC_VIA_036_001
66107,Litter male parent specimen id,Id Of Male Parent Of Litter,IMPC_VIA_037_001
66108,Litter female parent 1 specimen id,Id Of Female Parent,IMPC_VIA_038_001
66109,Litter female parent 2 specimen id,Id Of Optional Second Female Parent For Trio Matings,IMPC_VIA_039_001
66110,Litter date of birth,Date Of Birth Of Litter,IMPC_VIA_040_001
66111,Number of WT males,Number Of Wild-Type Males In Litter Or Total Wild-Type Males If Litter Data Is Not Available,IMPC_VIA_041_001
66112,Number of WT females,Number Of Wild-Type Females In Litter Or Total Wild-Type Females If Litter Data Is Not Available,IMPC_VIA_042_001
66113,Number of heterozygous males,Number Of Heterozygous Males In Litter Or Total Heterozygous Males If Litter Data Is Not Available,IMPC_VIA_043_001
66114,Number of heterozygous females,Number Of Heterozygous Females In Litter Or Total Heterozygous Females If Litter Data Is Not Available,IMPC_VIA_044_001
66115,Number of homozygous males,Number Of Homozygous Males In Litter Or Total Homozygous Males If Litter Data Is Not Available,IMPC_VIA_045_001
66116,Number of homozygous females,Number Of Homozygous Females In Litter Or Total Homozygousfe Males If Litter Data Is Not Available,IMPC_VIA_046_001
66117,Number of hemizygous males,Number Of Hemizygous Males In Litter Or Total Hemizygous Males If Litter Data Is Not Available,IMPC_VIA_047_001
66118,Number of anzygous females,Number Of Anzygous (I.e. No Copies Of Gene As It Is Y-Chromosome) Females In Litter Or Total Anzygous Females If Litter Data Is Not Available,IMPC_VIA_048_001
66119,Total WT males,Total Wild-Type Males,IMPC_VIA_049_001
66120,Total WT females,Total Wild-Type Females,IMPC_VIA_050_001
66121,Total heterozygous males,Total Heterozygous Males,IMPC_VIA_051_001
66122,Total heterozygous females,Total Heterozygous Females,IMPC_VIA_052_001
66123,Total homozygous males,Total Homozygous Males,IMPC_VIA_053_001
66124,Total homozygous females,Total Homozygous Males,IMPC_VIA_054_001
66125,Total of hemizygous males,Total Hemizygous Males,IMPC_VIA_055_001
66126,Total anzygous females,Total Anzygous (I.e. No Copies Of Gene As It Is Y-Chromosome) Females,IMPC_VIA_056_001
66127,Total pups,Total Pups,IMPC_VIA_057_001
66128,Total WTs,Total Wild-Type Pups,IMPC_VIA_058_001
66129,Total heterozygotes,Total Heterozygous Pups,IMPC_VIA_059_001
66130,Total homozygotes,Total Homozygous Pups,IMPC_VIA_060_001
66131,Total males,Total Male Pups,IMPC_VIA_061_001
66132,Total females,Total Female Pups,IMPC_VIA_062_001
66133,Female age earliest start,"",IMPC_VIA_026_001
66134,Female age oldest end,"",IMPC_VIA_027_001
66135,Age of pups at genotype,"",IMPC_VIA_030_001
71972,Homozygous males viability,Outcome Of Viability Assessment For Homozygous Males,IMPC_VIA_063_001
71973,Homozygous females viability,Outcome Of Viability Assessment For Homozygous Females,IMPC_VIA_064_001
71974,Hemizygous males viability,Outcome Of Viability Assessment For Hemizygous Males,IMPC_VIA_065_001
71975,Heterozygous animals viability,Outcome Of Viability Assessment For Heterozygous Animals,IMPC_VIA_066_001
71976,Homozygous animals viability,Outcome Of Viability Assessment For Homozygous Animals,IMPC_VIA_067_001
92576,Embryo Vignette,Poster Style Vignette To Highlight The Embryo Development For A Line,IMPC_VIA_068_001
47596,Number of signals,"",IMPC_ECG_001_001
47597,HR,"",IMPC_ECG_002_001
47598,CV,"",IMPC_ECG_003_001
47599,RR,"",IMPC_ECG_004_001
47600,PQ,"",IMPC_ECG_005_001
47601,PR,"",IMPC_ECG_006_001
47602,QRS,"",IMPC_ECG_007_001
47603,ST,"",IMPC_ECG_008_001
47604,HRV,"",IMPC_ECG_010_001
47605,QTc Dispersion,"",IMPC_ECG_011_001
47606,Mean SR amplitude,"",IMPC_ECG_012_001
47607,Mean R amplitude,"",IMPC_ECG_013_001
47608,rMSSD,"",IMPC_ECG_014_001
47609,pNN5(6>ms),"",IMPC_ECG_015_001
47610,Equipment ID,"",IMPC_ECG_016_001
47611,Equipment Manufacturer,"",IMPC_ECG_017_001
47612,Equipment Model,"",IMPC_ECG_018_001
47613,Anesthetic,"",IMPC_ECG_019_001
47614,Experimenter ID,"",IMPC_ECG_020_001
47615,Noise level,"",IMPC_ECG_021_001
47616,Light level,"",IMPC_ECG_022_001
47617,Date equipment last calibrated,"",IMPC_ECG_023_001
47618,QTc,"",IMPC_ECG_009_002
47619,Analysis Software,"",IMPC_ECG_024_001
47620,Waveform Image,"",IMPC_ECG_025_001
47621,Waveform Image Comment,Free Text Comment On The Waveform Image. Use Parameterassociation Of The Image Parameter To Link To This Text.,IMPC_ECG_026_001
74751,Lead Configuration,"",IMPC_ECG_027_001
18988,Body weight,Body Weight,IMPC_DXA_001_001
18989,Fat mass,Fat Mass,IMPC_DXA_002_001
18990,Lean mass,Lean Mass,IMPC_DXA_003_001
18991,Bone Mineral Density (excluding skull),Bone Mineral Density Excluding Skull,IMPC_DXA_004_001
18992,Bone Mineral Content (excluding skull),Bone Mineral Content Excluding Skull,IMPC_DXA_005_001
18993,Body length,Body Length,IMPC_DXA_006_001
18994,BMC/Body weight,Bmc Body Weight,IMPC_DXA_007_001
18995,Lean/Body weight,Lean Body Weight,IMPC_DXA_008_001
18996,Fat/Body weight,Fat Body Weight,IMPC_DXA_009_001
18997,Bone Area,Bone Area Bmc Bmd,IMPC_DXA_010_001
18998,Equipment ID,Equipment Name,IMPC_DXA_011_001
18999,Equipment manufacturer,Equipment Manufactuer,IMPC_DXA_012_001
19000,Equipment model,Equipment Model,IMPC_DXA_013_001
19001,Mouse Status,Mouse Status,IMPC_DXA_014_001
19002,Anesthesia,Anesthesia,IMPC_DXA_015_001
19003,Experimenter ID,"",IMPC_DXA_016_001
19004,Date equipment last calibrated,"",IMPC_DXA_017_001
19005,HAW,"",IMPC_DXA_018_001
30278,Sodium,Sodium,IMPC_CBC_001_001
30279,Potassium,Potassium,IMPC_CBC_002_001
30280,Chloride,Chloride,IMPC_CBC_003_001
30281,Urea (Blood Urea Nitrogen - BUN),Urea,IMPC_CBC_004_001
30282,Creatinine,Creatinine Enzymatic Method Preferred,IMPC_CBC_005_001
30283,Total protein,Total Protein,IMPC_CBC_006_001
30284,Albumin,Albumin,IMPC_CBC_007_001
30285,Total bilirubin,Total Bilirubin,IMPC_CBC_008_001
30286,Calcium,Calcium,IMPC_CBC_009_001
30287,Phosphorus,Phosphate,IMPC_CBC_010_001
30288,Iron,Iron,IMPC_CBC_011_001
30289,Aspartate aminotransferase,Aspartate Aminotransferase,IMPC_CBC_012_001
30290,Alanine aminotransferase,Alanine Aminotransferase,IMPC_CBC_013_001
30291,Alkaline phosphatase,Alkaline Phosphatase,IMPC_CBC_014_001
30292,Total cholesterol,Total Cholesterol,IMPC_CBC_015_001
30293,HDL-cholesterol,Hdl Cholesterol,IMPC_CBC_016_001
30294,Triglycerides,Triglycerides,IMPC_CBC_017_001
30295,Glucose,Glucose,IMPC_CBC_018_001
30296,LIH (Hemolysis Severity - available on AU analysers),Lih Hemolysis Severity Available On Au Analysers,IMPC_CBC_019_001
30297,Fructosamine,Fructosamine,IMPC_CBC_020_001
30298,Lipase,Lipase,IMPC_CBC_021_001
30299,Lactate dehydrogenase,Lactate Dehydrogenase,IMPC_CBC_022_001
30300,Alpha-amylase,Alpha Amylase,IMPC_CBC_023_001
30301,UIBC (unsaturated iron binding capacity),Uibc Unsaturated Iron Binding Capacity,IMPC_CBC_024_001
30302,LDL-cholesterol,Ldl Cholesterol,IMPC_CBC_025_001
30303,Free fatty acids,Free Fatty Acids,IMPC_CBC_026_001
30304,Glycerol,Glycerol,IMPC_CBC_027_001
30305,Creatine kinase,Creatine Kinase,IMPC_CBC_028_001
30306,Uric acid,Uric Acid,IMPC_CBC_029_001
30307,Ferritin,Ferritin,IMPC_CBC_030_001
30308,Transferrin,Transferrin,IMPC_CBC_031_001
30309,C-reactive protein,C Reactive Protein,IMPC_CBC_032_001
30310,Equipment ID,Equipment Name,IMPC_CBC_033_001
30311,Equipment manufacturer,Equipment Manufacturer,IMPC_CBC_034_001
30312,Equipment model,Equipment Model,IMPC_CBC_035_001
30313,Anesthesia used for blood collection,Anesthesia Used For Blood Collection,IMPC_CBC_036_001
30314,Method of blood collection,Method Of Blood Collection,IMPC_CBC_037_001
30315,Anticoagulant,Anticoagulant,IMPC_CBC_038_001
30316,Samples kept on ice between collection and analysis,Samples Kept On Ice Between Collection And Analysis,IMPC_CBC_042_001
30317,Sample status,Sample Status,IMPC_CBC_043_001
30318,Sample dilution,Plasma Dilution,IMPC_CBC_044_001
30319,ID of blood collection SOP,Id Of Blood Collection Sop,IMPC_CBC_045_001
30320,Date and time of blood collection,Date And Time Of Blood Collection,IMPC_CBC_046_001
30321,Hemolysis status,Hemolysis Status,IMPC_CBC_048_001
30322,Blood collection experimenter ID,"",IMPC_CBC_049_001
30323,Date equipment last calibrated,"",IMPC_CBC_050_001
30324,Blood collection tubes,"",IMPC_CBC_039_001
30325,Date and time of sacrifice,"",IMPC_CBC_040_001
30326,Storage temperature from blood collection till measurement,"",IMPC_CBC_041_001
30327,Blood analysis experimenter ID,"",IMPC_CBC_051_001
30328,Glycosilated hemoglobin A1c (HbA1c),"",IMPC_CBC_052_001
30329,Thyroxine,"",IMPC_CBC_053_001
30330,Magnesium,"",IMPC_CBC_054_001
30331,Difficult bleed,"",IMPC_CBC_055_001
47813,Body weight,Body Weight,IMPC_OWT_001_001
47814,Spleen weight,Spleen Weight,IMPC_OWT_002_001
47815,Left kidney weight,Left Kidney Weight,IMPC_OWT_003_001
47816,Right kidney weight,Right Kidney Weight,IMPC_OWT_004_001
47817,Epididymis weight,Epididymis Weight,IMPC_OWT_005_001
47819,Seminal vesicle weight,Seminal Vesicle Weight,IMPC_OWT_007_001
47820,Spleen weight to body weight ratio,Spleen Weight To Body Weight Ratio,IMPC_OWT_008_001
47821,Left kidney weight to body weight ratio,Left Kidney Weight To Body Weight Ratio,IMPC_OWT_009_001
47822,Right kidney weight to body weight ratio,Right Kidney Weight To Body Weight Ratio,IMPC_OWT_010_001
47824,Epididymis weight to body weight ratio,Epididymis Weight To Body Weight Ratio,IMPC_OWT_012_001
47825,Seminal vesicle weight to body weight ratio,Seminal Vesicle Weight To Body Weight Ratio,IMPC_OWT_013_001
47826,Experimenter ID,Experimenter Id,IMPC_OWT_014_001
47827,Date of sacrifice,Date Of Sacrifice,IMPC_OWT_015_001
47828,Method of sacrifice,Method Of Sacrifice,IMPC_OWT_016_001
47829,Equipment ID,Equipment Id,IMPC_OWT_017_001
47830,Date equipment last calibrated,Date Equipment Last Calibrated,IMPC_OWT_018_001
47831,Equipment manufacturer,Equipment Manufacturer,IMPC_OWT_019_001
47832,Equipment model,Equipment Model,IMPC_OWT_020_001
73974,Left testis weight,Left Testis Weight,IMPC_OWT_021_001
73975,Right testis weight,Right Testis Weight,IMPC_OWT_022_001
73976,Whole liver weight,Whole Liver Weight,IMPC_OWT_023_001
73977,Right lung all lobes weight,Right Lung All Lobes Weight,IMPC_OWT_024_001
73978,Left lung weight,Left Lung Weight,IMPC_OWT_025_001
73979,Left testis weight to body weight ratio,Left Testis Weight To Body Weight Ratio,IMPC_OWT_026_001
73980,Right testis weight to body weight ratio,Right Testis Weight To Body Weight Ratio,IMPC_OWT_027_001
73981,Whole liver weight to body weight ratio,Whole Liver Weight To Body Weight Ratio,IMPC_OWT_028_001
73982,Right lung all lobes weight to body weight ratio,Right Lung All Lobes Weight To Body Weight Ratio,IMPC_OWT_029_001
73983,Left lung weight to body weight ratio,Left Lung Weight To Body Weight Ratio,IMPC_OWT_030_001
74113,Whole lung weight,Whole Lung Weight,IMPC_OWT_031_001
19236,Skull shape,Skull Shape,IMPC_XRY_001_001
19237,Zygomatic bone,Zygomatic Bone,IMPC_XRY_002_001
19238,Maxilla/Pre-maxilla,Maxilla,IMPC_XRY_003_001
19239,Mandibles,Mandibles,IMPC_XRY_004_001
19240,Teeth,Teeth,IMPC_XRY_005_001
19241,Scapulae,Scapulae,IMPC_XRY_006_001
19242,Clavicle,Clavicle,IMPC_XRY_007_001
19243,Number of ribs right,Number Of Ribs Right,IMPC_XRY_008_001
19244,Number of ribs left,Number Of Ribs Left,IMPC_XRY_009_001
19245,Shape of ribs,Shape Of Ribs,IMPC_XRY_010_001
