analysis_id,gene_accession_id,gene_symbol,mouse_strain,mouse_life_stage,parameter_id,pvalue,parameter_name
61q8pse41001edq,MGI:2146020,Mief1,C57BL,Early Adult,IMPC_GPO_002_001,0.3285469,Placenta Morphology
61r46xe5r0313gk,MGI:103022,Reln,C57BL,E18.5,MGP_PBI_039_001,0.5262104,Neutrophil number
61r8791nefsisi1,MGI:3648285,Gm5127,C57BL,Early Adult,ESLIM_007_001_005,0.1771168,Whole arena average speed
61rtc3h34346ecn,MGI:1100520,Twf1,C57BL,Early Adult,IMPC_LDT_006_001,0.5707651,Latency to first transition into dark
61st02svmd31q2a,MGI:104673,Ptpn12,C57BL,E9.5,IMPC_CSD_037_001,0.09830618,Unexpected behaviors
61t05g3c68903n2,MGI:109271,Zhx1,C57BL,Early Adult,IMPC_ABR_004_001,0.438642,6kHz-evoked ABR Threshold
61tz06w89327155,MGI:1342774,Ppargc1a,C57BL,E18.5,IMPC_CBC_058_001,0.3223958,Cholesterol ratio
61u9m4707sq8581,MGI:107417,Slc50a1,C57BL,Early Adult,IMPC_ACS_033_001,0.6444168,% Pre-pulse inhibition - PPI1
61ut68y8bdek6ts,MGI:1915690,Dusp23,C57BL,Early Adult,ESLIM_001_001_004,0.8377401,adult mouse length
61uw39tze49o772,MGI:95392,Eng,C57BL,E15.5,IMPC_XRY_067_001,0.7328063,Caudal processes
61v1727myubt6ps,MGI:2159621,Acot4,C57BL,Early Adult,IMPC_OFD_020_001,0.3597262,Distance travelled - total
61v5am7j722o75l,MGI:1919963,Angptl1,C57BL,Early Adult,IMPC_ACS_037_001,0.4234455,% Pre-pulse inhibition - Global
61w61b1419813rk,MGI:97748,Ctsa,C57BL,Early Adult,IMPC_EYE_067_001,0.3967678,Left anterior chamber depth
61xv6wa0ax1o6m4,MGI:2138297,Sh3bp4,C57BL,Early Adult,IMPC_FEA_015_001,0.5494597,Cue Baseline % Freezing Time
61xypxcp6lzl70a,MGI:2442190,Camk1d,C57BL,Early Adult,IMPC_DXA_009_001,0.9819522,Fat/Body weight
61y140t2v862ik1,MGI:96877,Klrb1,C57BL,Middle Aged Adult,IMPC_EYE_008_001,0.1735244,Corneal opacity
61y2vz9r6vrb4vj,MGI:3029290,Zfp281,C57BL,Early Adult,IMPC_HEM_002_001,0.6807464,Red blood cell count
620359v1sinp472,MGI:1921453,Eif4enif1,C57BL,E15.5,HRWLLA_FEA_003_001,0.8328024,Conditioning Baseline % Freezing Time
6206lx29e5k3zm6,MGI:2387404,Catsper2,C57BL,Early Adult,IMPC_GEL_066_001,0.3324983,Vascular morphology
620di0j9la4h459,MGI:2444584,Mysm1,C57BL,Early Adult,IMPC_CBC_010_001,0.5392211,Phosphorus
620gf7474629698,MGI:2146818,Oard1,C57BL,Early Adult,IMPC_GEL_066_001,0.8624666,Vascular morphology
620l7pm7400ms78,MGI:97748,Ctsa,C57BL,Early Adult,IMPC_XRY_017_001,0.9405712,Number of caudal vertebrae
6212gnk02gkd6q2,MGI:87885,Chrna1,C57BL,Early Adult,IMPC_DXA_004_001,0.276863,Bone Mineral Density (excluding skull)
6215b68rx55u9c6,MGI:1276578,Gfi1b,C57BL,Early Adult,TCPLA_DXA_007_001,0.4316269,BMC/Body weight
6218ie909xwo97x,MGI:3029290,Zfp281,C57BL,E9.5,HRWLLA_HEM_031_001,0.6867508,Lymphocyte differential count
621t7saw579h57o,MGI:1276578,Gfi1b,C57BL,E15.5,ESLIM_011_001_001,0.5289301,BN startle magnitude
622b48651z82r15,MGI:1890391,Fstl3,C57BL,Early Adult,IMPC_CBC_011_001,0.9722394,Iron
622j9h1751b3z3j,MGI:2444155,Nmnat2,C57BL,Early Adult,IMPC_ACS_036_001,0.2538114,% Pre-pulse inhibition - PPI4
622jk859c49z609,MGI:1276578,Gfi1b,C57BL,E15.5,CCP_LFO_010_001,0.6456933,Hp8
622xxt55s4q87xw,MGI:2442190,Camk1d,C57BL,Middle Aged Adult,HRWLLA_HEM_003_001,0.7530256,Hemoglobin
62310kt1m6tg5ov,MGI:3029290,Zfp281,C57BL,Early Adult,ESLIM_001_001_151,0.5985754,hindlimb
6233ge9262c93l8,MGI:1355329,Mink1,C57BL,Early Adult,IMPC_XRY_063_001,0.5136012,Cervical processes
62342zb034s91o4,MGI:1921453,Eif4enif1,C57BL,E15.5,IMPC_FEA_003_001,0.84472,Conditioning Baseline % Freezing Time
62377t6s8pu0y71,MGI:2442190,Camk1d,C57BL,Late Adult,IMPC_EYE_059_001,0.7782522,Mean right eye lens density
623a8606164314q,MGI:109271,Zhx1,C57BL,Early Adult,IMPC_DXA_009_001,0.8691957,Fat/Body weight
623g683e47n7v4t,MGI:1289225,Tmem41b,C57BL,E9.5,IMPC_ACS_006_001,0.8622627,Response amplitude - S
623jyky9201bapu,MGI:99402,Adora2a,C57BL,Early Adult,ESLIM_022_001_001,0.2307959,Body Weight
6240m15a721z868,MGI:1342774,Ppargc1a,C57BL,Early Adult,IMPC_CBC_015_001,0.3954655,Total cholesterol
624130134845v7y,MGI:2387404,Catsper2,C57BL,Early Adult,IMPC_CBC_016_001,0.4288102,HDL-cholesterol
62479879419mjgd,MGI:96877,Klrb1,C57BL,Early Adult,IMPC_OFD_019_001,0.07470026,Number of center entries
624j8nz3h47rim7,MGI:2145317,Brd9,C57BL,Early Adult,ESLIM_016_001_006,0.3498305,Mean corpuscular hemoglobin
624n45j1j31sp1u,MGI:2444069,Vwc2l,C57BL,Early Adult,IMPC_HEM_006_001,0.4779893,Mean corpuscular hemoglobin
62527323yfk19ab,MGI:1196439,Cbx7,C57BL,Early Adult,IMPC_LDT_006_001,0.1492267,Latency to first transition into dark
62529nin5t5hu7t,MGI:2442190,Camk1d,C57BL,Early Adult,IMPC_ACS_037_001,0.2528545,% Pre-pulse inhibition - Global
6255tmh8w46018z,MGI:2444688,Endov,C57BL,Early Adult,HRWLLA_DXA_002_001,0.3835191,Fat mass
62573fq6v7j0396,MGI:2145317,Brd9,C57BL,E15.5,IMPC_HEM_034_001,0.1470451,Monocyte cell count
625758q2m7l6725,MGI:2444069,Vwc2l,C57BL,Early Adult,CCP_LFO_010_001,0.9412606,Hp8
625966384q82rkq,MGI:1924127,Rab36,C57BL,Early Adult,IMPC_GEO_019_001,0.8529637,Embryo Size
625f16rbb83j0q1,MGI:893577,Stx4a,C57BL,Early Adult,IMPC_GEL_060_001,0.7123177,Neural tube morphology
62602s3z42hze3e,MGI:1920150,Ndufv2,C57BL,Middle Aged Adult,IMPC_CSD_071_001,0.9722924,Genitalia - presence
6261ba47afc59f3,MGI:1925847,Fhod3,C57BL,Early Adult,IMPC_GRS_008_001,0.688326,Forelimb grip strength measurement mean
6261yb19a5rx2pt,MGI:2444155,Nmnat2,C57BL,E15.5,IMPC_ABR_012_001,0.7106793,30kHz-evoked ABR Threshold
62625fxk96g6sh4,MGI:2142527,Exoc8,C57BL,Early Adult,IMPC_CSD_005_001,0.7546398,Coat - color - back
62655fte602353i,MGI:1913895,Pspc1,C57BL,Early Adult,IMPC_EYE_063_001,0.3199451,Right inner nuclear layer
62658aab7l9642k,MGI:97742,Pomc,C57BL,Early Adult,ESLIM_008_001_016,0.8331024,Trunk curl
62676j65fedgv8l,MGI:1890391,Fstl3,C57BL,Early Adult,IMPC_HEM_032_001,0.2789466,Lymphocyte cell count
626s4l752m0c2l4,MGI:2145317,Brd9,C57BL,E12.5,IMPC_FEA_107_001,0.3148199,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
62743v7afzk80f4,MGI:104673,Ptpn12,C57BL,E9.5,JAXLA_CSD_005_001,0.8800478,Coat - color - back
6278a9eq7vmv0iv,MGI:1342273,Gsto1,C57BL,Early Adult,IMPC_ABR_008_001,0.2652061,18kHz-evoked ABR Threshold
627a1eck281l6l2,MGI:105120,Dusp1,C57BL,Early Adult,IMPC_OFD_019_001,0.5859464,Number of center entries
627c38evxi1rgg3,MGI:1343176,Timm17b,C57BL,Early Adult,IMPC_DXA_008_001,0.5485534,Lean/Body weight
62825qpy626p9eg,MGI:1913208,Carm1,C57BL,Early Adult,IMPC_CBC_004_001,0.3376589,Urea (Blood Urea Nitrogen - BUN)
6284e67dgbskp8a,MGI:2442190,Camk1d,C57BL,Late Adult,JAXLA_CSD_009_001,0.3518524,Coat - color pattern - head
6284gb5i029pbf9,MGI:2159621,Acot4,C57BL,Early Adult,IMPC_ACS_037_001,0.1482176,% Pre-pulse inhibition - Global
6285tbt7vzv7d90,MGI:1919963,Angptl1,C57BL,Early Adult,IMPC_ACS_035_001,0.07982016,% Pre-pulse inhibition - PPI3
628o4qy716olqrb,MGI:2444584,Mysm1,C57BL,Early Adult,IMPC_EYE_069_001,0.498357,Left inner nuclear layer
628st87198auppn,MGI:2142527,Exoc8,C57BL,E12.5,JAXLA_CSD_029_001,0.4839266,Activity (body position)
628x2iy9eg860fp,MGI:1333114,Pigq,C57BL,Early Adult,IMPC_CSD_018_001,0.3004261,Forelimbs - shape
629148cze3r5p4h,MGI:99892,Lama1,C57BL,Early Adult,JAXLA_CSD_005_001,0.05687619,Coat - color - back
6296s06ro0uk3s2,MGI:2442190,Camk1d,C57BL,Late Adult,IMPC_IPG_012_001,0.3915124,Area under glucose response curve
6296y6rp5usxd26,MGI:2151110,Prelp,C57BL,Early Adult,CCP_LFO_007_001,0.4223922,Hqp
629t2cr383pqz5t,MGI:2151110,Prelp,C57BL,Early Adult,IMPC_OFD_022_001,0.2789115,Percentage center time
629wdq3rmqz26x8,MGI:1342273,Gsto1,C57BL,Late Adult,IMPC_GEL_029_001,0.4276149,Midbrain
62a429s20y1j30k,MGI:2444807,Zfp827,C57BL,Early Adult,MGP_016_001_008,0.9113527,Platelet count
62b2954hx2oit3e,MGI:1859545,Syt7,C57BL,Early Adult,CCP_LFO_010_001,0.3919051,Hp8
62bjs9s2xx7yob9,MGI:99402,Adora2a,C57BL,Middle Aged Adult,IMPC_CSD_005_001,0.9498828,Coat - color - back
62bp40noh1d62d4,MGI:1355329,Mink1,C57BL,Early Adult,MGP_CSD_008_001,0.1523095,Startle response
62c154771qsnzc1,MGI:95392,Eng,C57BL,E15.5,IMPC_OFD_007_001,0.7537202,Whole arena resting time
62d24j0zee8ao58,MGI:1919822,Spats2,C57BL,Early Adult,IMPC_GEL_027_001,0.870309,Neural tube closure
62d835n9f90d081,MGI:95392,Eng,C57BL,E9.5,IMPC_GEL_006_001,0.7922183,Pericardium Morphology
62ditqqj4a87xi4,MGI:2146818,Oard1,C57BL,Early Adult,IMPC_CSD_071_001,0.5895497,Genitalia - presence
62dw66k4239olb8,MGI:1346006,Ptpa,C57BL,Early Adult,ESLIM_015_001_012,0.5114887,Lactate dehydrogenase
62e20651d48b3y2,MGI:1098713,Parp8,C57BL,Early Adult,IMPC_XRY_010_001,0.1747835,Shape of ribs
62ec4hwbgt90dzg,MGI:109271,Zhx1,C57BL,Early Adult,JAX_TLS_001_001,0.6068712,Time immobile
62esg0205c1z6mv,MGI:2142527,Exoc8,C57BL,Early Adult,ESLIM_008_001_016,0.4192056,Trunk curl
62f2900ku7kgwxq,MGI:1333114,Pigq,C57BL,E9.5,JAXLA_CSD_077_001,0.546364,Contact righting
62g15mm29l85685,MGI:2385261,Cnot3,C57BL,Early Adult,ESLIM_007_001_013,0.3959826,Center average speed
62g22z837d7k977,MGI:1914836,Ubxn11,C57BL,Early Adult,IMPC_OFD_050_001,0.7992983,Percentage center movement time
62gcf41css2ui15,MGI:1914727,Abhd15,C57BL,Early Adult,IMPC_HEM_002_001,0.4159552,Red blood cell count
62hi5d89156ardu,MGI:2686460,Prob1,C57BL,Early Adult,IMPC_HEM_001_001,0.1018903,White blood cell count
62hnj7bl7b18i0t,MGI:2685530,Pou2af3,C57BL,Early Adult,IMPC_FEA_106_001,0.4563378,Difference in Cue Tone and Cue Baseline % Freezing
62i0izdela1ju4a,MGI:1333870,Ate1,C57BL,Early Adult,JAX_OFD_020_001,0.3294705,Distance travelled - total
62j9nyrvw737sy9,MGI:1913887,Tsen15,C57BL,Early Adult,MGP_016_001_008,0.8211919,Platelet count
62jh991nw9jf950,MGI:1342273,Gsto1,C57BL,Late Adult,HRWLLA_FEA_003_001,0.1005585,Conditioning Baseline % Freezing Time
62jn7i094w4k3z9,MGI:1918328,Adam30,C57BL,Early Adult,IMPC_CBC_015_001,0.4966068,Total cholesterol
62ju1v5950ad934,MGI:2151110,Prelp,C57BL,Early Adult,IMPC_CBC_008_001,1.151901e-07,Total bilirubin
62ku9o307zd5g7o,MGI:2146020,Mief1,C57BL,Early Adult,IMPC_HEM_027_001,0.5762221,Red blood cell distribution width
62ma0rqc6192hp6,MGI:2142527,Exoc8,C57BL,Early Adult,IMPC_OFD_010_001,0.9848799,Periphery distance travelled
62n0dqhk65y7om3,MGI:88111,Atp2b4,C59BL,Early Adult,ESLIM_018_001_003,0.9666332,T cell CD3+ percentage
62o2mxq9l838140,MGI:1925847,Fhod3,C57BL,E9.5,JAXLA_CSD_039_001,0.1065337,Limb grasp
62o8on4uyn70mxd,MGI:1346006,Ptpa,C57BL,Early Adult,IMPC_EYE_008_001,0.6819529,Corneal opacity
62p92c99243m981,MGI:2685530,Pou2af3,C57BL,Early Adult,IMPC_ABR_012_001,0.849253,30kHz-evoked ABR Threshold
62prx334r1va9p0,MGI:2151110,Prelp,C57BL,Early Adult,ESLIM_007_001_009,0.7026913,Periphery average speed
62pvk925a48fgnf,MGI:97742,Pomc,C57BL,Early Adult,ESLIM_022_001_001,0.9368121,Body Weight
62qz0a23l2574iv,MGI:891978,Phyh,C57BL,Early Adult,IMPC_ABR_004_001,0.677364,6kHz-evoked ABR Threshold
62r617ntp67o512,MGI:1345153,Pacsin2,C57BL,Early Adult,IMPC_LDT_006_001,0.328307,Latency to first transition into dark
62rmdby2uh1l418,MGI:1349410,Triobp,C57BL,Early Adult,ESLIM_006_001_019,0.9274308,Skull shape
62s8xz155vn9jo7,MGI:2385261,Cnot3,C57BL,Early Adult,IMPC_GRS_009_001,0.6219897,Forelimb and hindlimb grip strength measurement mean
62sbf77bruarghn,MGI:1918925,Sanbr,C57BL,Early Adult,IMPC_GEL_011_001,0.6193123,Embryo turning
62snfj5ftxxq0z8,MGI:1276578,Gfi1b,C57BL,E15.5,IMPC_CSD_078_001,0.9235691,Vocalization
62te0yu3t6iuw07,MGI:2180307,Hps5,C57BL,Early Adult,ESLIM_018_001_005,0.1368835,B cell CD19+ percentage
62tfds4ww4197t5,MGI:1913887,Tsen15,C57BL,Early Adult,IMPC_HEM_008_001,0.8392447,Platelet count
62u01ld27f30c71,MGI:3029290,Zfp281,C57BL,Early Adult,IMPC_GRS_009_001,0.9517569,Forelimb and hindlimb grip strength measurement mean
62w5mnvy16z0ew6,MGI:1346006,Ptpa,C57BL,Early Adult,IMPC_YMZ_002_001,0.597037,Total arm entries
62x3e663bsa8393,MGI:88492,Masp1,C57BL,Early Adult,IMPC_HEM_001_001,0.7587719,White blood cell count
62xa5913g0wxj3q,MGI:97742,Pomc,C57BL,Early Adult,IMPC_FEA_107_001,0.9671811,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
62xjb5zc46403cx,MGI:1196439,Cbx7,C57BL,Early Adult,JAXLA_DXA_008_001,0.5734007,Lean/Body weight
62y1hv5e2lc4k63,MGI:2442190,Camk1d,C57BL,Late Adult,IMPC_ECG_002_001,0.1399602,HR
62y5g0oga59vk7b,MGI:2385261,Cnot3,C57BL,Early Adult,CCP_LFO_010_001,0.5121066,Hp8
62ykf43fa212hn0,MGI:1921058,Tex36,C57BL,Early Adult,IMPC_GEL_006_001,0.5923172,Pericardium Morphology
62ykpere4hz96t7,MGI:1351477,Cars1,C57BL,Early Adult,ESLIM_015_001_012,0.9888574,Lactate dehydrogenase
62yo2u6jxo10ysa,MGI:2684870,Pom121l2,C57BL,Early Adult,IMPC_OFD_014_001,0.07887714,Center distance travelled
6300r27ae5r5280,MGI:2385261,Cnot3,C57BL,Early Adult,CCP_LFO_007_001,0.2277982,Hqp
630379ewvdkd867,MGI:96877,Klrb1,C57BL,Middle Aged Adult,IMPC_GEL_063_001,0.3737475,Delayed embryonic development
6304g60l94vkv15,MGI:3648285,Gm5127,C57BL,Early Adult,ESLIM_007_001_008,0.2216039,Periphery permanence time
6305a4kh3n2ao7t,MGI:1347075,Nbea,C57BL,Early Adult,IMPC_DXA_003_001,1.565617e-08,Lean mass
630r1p184cn0229,MGI:3030482,Or52h1,C57BL,Early Adult,HRWL_OWT_001_001,0.4220395,Spleen weight
630udofp2486gvk,MGI:2444807,Zfp827,C57BL,Early Adult,JAX_OFD_009_001,0.9954719,Whole arena average speed
630x8cdm6nx6swy,MGI:2158736,Senp3,C57BL,Early Adult,IMPC_EYE_017_001,0.4418677,Lens Opacity
63113683sh521h0,MGI:2443138,Mphosph9,C57BL,Early Adult,JAXLA_CSD_007_001,0.6982715,Coat - color - abdomen
6313ph9k9icui1o,MGI:96877,Klrb1,C57BL,Early Adult,IMPC_HEM_003_001,0.3400148,Hemoglobin
63160f12fb581lq,MGI:1202401,Fgf17,C57BL,Early Adult,IMPC_ABR_002_001,0.9287856,Click-evoked ABR threshold
631f535p24czrf9,MGI:2151110,Prelp,C57BL,Early Adult,IMPC_YMZ_002_001,0.09523075,Total arm entries
631v1i9o294q516,MGI:1921453,Eif4enif1,C57BL,E15.5,IMPC_GEL_036_002,0.3814089,Pallor
6328v1gbdsmx8rb,MGI:95392,Eng,C57BL,E9.5,IMPC_ABR_002_001,0.3875319,Click-evoked ABR threshold
632fucx44z9uaj7,MGI:2387603,Ahsa1,C57BL,Early Adult,IMPC_EYE_023_001,1.912113e-05,Optic Disc
632j8891xfl0e26,MGI:1920150,Ndufv2,C57BL,E9.5,ESLIM_001_001_151,0.3848911,hindlimb
633ej2d446ck32b,MGI:1920150,Ndufv2,C57BL,Early Adult,IMPC_OFD_050_001,0.9649072,Percentage center movement time
633j6b44320hzhi,MGI:1921453,Eif4enif1,C57BL,Early Adult,IMPC_CBC_004_001,0.5335031,Urea (Blood Urea Nitrogen - BUN)
6340c3cc695sj4y,MGI:1916778,1700030J22Rik,C57BL,Early Adult,IMPC_FEA_107_001,0.4480875,Difference in Conditioning Post-shock and Conditioning Baseline % Freezing
63425cqza0w9j81,MGI:2444688,Endov,C57BL,Early Adult,JAXLA_DXA_009_001,0.4049162,Fat/Body weight
63454e8rmkempy1,MGI:1342273,Gsto1,C57BL,Middle Aged Adult,IMPC_GEL_015_001,0.6688162,Vitelline vasculature morphology
634dg85oew2ir8o,MGI:1921453,Eif4enif1,C57BL,Early Adult,IMPC_DXA_006_001,0.1996155,Body length
634kxhc7638w274,MGI:2670984,Kics2,C57BL,Early Adult,IMPC_GEL_030_001,0.4754354,Hindbrain
63529uo8s4blvph,MGI:2387603,Ahsa1,C57BL,Early Adult,IMPC_EYE_092_001,0.6653948,Retina (combined)
63569vz7g26bhr7,MGI:2145317,Brd9,C57BL,Early Adult,IMPC_GEL_015_001,0.360941,Vitelline vasculature morphology
63593te2e42289s,MGI:1345153,Pacsin2,C57BL,Early Adult,IMPC_EYE_059_001,0.07928183,Mean right eye lens density
635h00f5nr8482w,MGI:1276578,Gfi1b,C57BL,Early Adult,IMPC_GEL_015_001,0.8088643,Vitelline vasculature morphology
635t26bg6m36ca6,MGI:1347075,Nbea,C57BL,E18.5,ESLIM_001_001_157,0.5443954,hindlimb thickness
635vr411wt6g901,MGI:1913895,Pspc1,C57BL,Early Adult,IMPC_CBC_002_001,0.837153,Potassium
635w24v9cp5vzl2,MGI:2385261,Cnot3,C57BL,Early Adult,IMPC_GEO_019_001,0.2348028,Embryo Size
6368j1ck503m38c,MGI:96877,Klrb1,C57BL,Middle Aged Adult,IMPC_LDT_006_001,0.846617,Latency to first transition into dark
6369243801ohjam,MGI:1914836,Ubxn11,C57BL,Early Adult,ESLIM_019_001_004,0.3067826,IgG2b
63693p4lm3ct21a,MGI:1860078,Txnl1,C57BL,Early Adult,IMPC_EYE_056_001,0.05650503,Mean left eye lens density
636a4fan7u85862,MGI:1098713,Parp8,C57BL,Early Adult,ESLIM_006_001_012,0.1450341,Pelvis
636h01rp9hsuhh4,MGI:2142527,Exoc8,C57BL,E12.5,IMPC_GEL_028_001,0.7643435,Forebrain
63739l6pw5lg7h4,MGI:1343176,Timm17b,C57BL,Early Adult,IMPC_GEO_072_001,0.9546596,Pallor
637730vt4cuoni4,MGI:1333114,Pigq,C57BL,E9.5,IMPC_ECG_010_001,0.7913637,HRV
6379s8c4r42q507,MGI:1100520,Twf1,C57BL,Early Adult,IMPC_ECG_004_001,0.3759608,RR
637y3dki6781m51,MGI:2142527,Exoc8,C57BL,Early Adult,IMPC_CBC_013_001,0.796193,Alanine aminotransferase
63800r0s445l2hd,MGI:97742,Pomc,C57BL,Late Adult,IMPC_EYE_024_001,0.5453898,Retinal Blood Vessels
6383t623mc89n5z,MGI:104673,Ptpn12,C57BL,Early Adult,IMPC_HEM_033_001,0.6744554,Monocyte differential count
6386ol90mx7qx1q,MGI:1289225,Tmem41b,C57BL,Early Adult,IMPC_CSD_030_001,0.5046606,Tremor
6387t335oyb9t2v,MGI:1921058,Tex36,C57BL,Early Adult,JAX_TLS_001_001,0.1507718,Time immobile
638o9f67qjn824r,MGI:1925847,Fhod3,C57BL,E15.5,IMPC_CBC_058_001,0.8167055,Cholesterol ratio
638z9f4vx23ipr1,MGI:104673,Ptpn12,C57BL,Early Adult,IMPC_ECG_004_001,0.9774503,RR
6395i422168zl1y,MGI:2138297,Sh3bp4,C57BL,Early Adult,IMPC_GEL_064_001,0.4570593,Somite Morphology
63990a5c7c0w70t,MGI:2444688,Endov,C57BL,Early Adult,MGP_PBI_039_001,0.5622999,Neutrophil number
639htvwh9mj717k,MGI:109601,Nck1,C57BL,Early Adult,IMPC_GEL_064_001,0.726141,Somite Morphology
63a52m592s98u5l,MGI:1859545,Syt7,C57BL,Early Adult,IMPC_EYE_024_001,0.3508328,Retinal Blood Vessels
63b59812x6a578g,MGI:1333114,Pigq,C57BL,Early Adult,ESLIM_018_001_005,0.5739117,B cell CD19+ percentage
63bo2xyw5pd122l,MGI:2142527,Exoc8,C57BL,Early Adult,HMGULA_HEM_001_001,0.1854383,White blood cell count
63e08fhpjb98907,MGI:1914836,Ubxn11,C57BL,Early Adult,IMPC_CBC_028_001,0.5959068,Creatine kinase
63e15supqk8b81g,MGI:96877,Klrb1,C57BL,Early Adult,IMPC_XRY_018_001,0.6730171,Shape of vertebrae
63e267umbs1x4n3,MGI:2145317,Brd9,C57BL,Late Adult,IMPC_GEL_029_001,0.8232676,Midbrain
63f1im657hzkye5,MGI:3029290,Zfp281,C57BL,Early Adult,IMPC_GEL_064_001,0.1558554,Somite Morphology
63f51l1374taz81,MGI:1918925,Sanbr,C57BL,Early Adult,IMPC_GEL_064_001,0.7918244,Somite Morphology
63fb41d527dap43,MGI:97742,Pomc,C57BL,Early Adult,JAX_OFD_010_001,0.4989368,Periphery distance travelled
63ff1jepjo6k0q7,MGI:1915051,Pllp,C57BL,Early Adult,IMPC_OFD_050_001,0.8274484,Percentage center movement time
63fsv27b2kxlni8,MGI:2444069,Vwc2l,C57BL,Early Adult,JAXLA_DXA_007_001,0.7303212,BMC/Body weight
63g4z129nb0dj4x,MGI:1349410,Triobp,C57BL,Early Adult,IMPC_GEL_033_001,0.8221252,Tail bud morphology
63h9ly32jvdu98l,MGI:1289225,Tmem41b,C57BL,E12.5,IMPC_XRY_067_001,0.595725,Caudal processes
63i5n0362p2n733,MGI:1342273,Gsto1,C57BL,Late Adult,ESLIM_001_001_007,0.5956784,coat hair
63ia7x14k14b83t,MGI:104899,Mob4,C57BL,Early Adult,IMPC_HEM_006_001,0.6850526,Mean corpuscular hemoglobin
63iiw5ni93jyjj2,MGI:109555,Psmc2,C57BL,Early Adult,IMPC_GEL_042_001,0.874306,Otic vesicle morphology
63ik0wo8h1o48ue,MGI:2145317,Brd9,C57BL,E12.5,ESLIM_008_001_009,0.7871705,Gait
63il5evy8rn38p5,MGI:2444688,Endov,C57BL,Early Adult,IMPC_XRY_067_001,0.1592793,Caudal processes
63j0098k3925ske,MGI:1918829,Tcta,C57BL,Early Adult,IMPC_IPG_010_001,0.4969966,Fasted blood glucose concentration
63j9145165jut66,MGI:2180307,Hps5,C57BL,Early Adult,ESLIM_001_001_009,0.5059182,Coat colouration
63k7ff8vrvm6639,MGI:1342273,Gsto1,C57BL,Early Adult,IMPC_DXA_010_001,0.3063125,Bone Area
63k7t48yjr20oy4,MGI:2145317,Brd9,C57BL,Late Adult,IMPC_CBC_013_001,0.5326772,Alanine aminotransferase
63l4cbb7n1ni5ud,MGI:97801,Pth1r,C57BL,Early Adult,IMPC_ECG_002_001,0.8868281,HR
63m38559q13z3dv,MGI:2444584,Mysm1,C57BL,Early Adult,HRWLLA_DXA_009_001,0.5361902,Fat/Body weight
63m3hn431m6qwzh,MGI:2145317,Brd9,C57BL,Early Adult,IMPC_OFD_012_001,0.8042139,Periphery permanence time
63m505af26lpzu2,MGI:2441675,Pgbd1,C57BL,Early Adult,JAXLA_DXA_007_001,0.3736115,BMC/Body weight
63m50r4u1qp81j2,MGI:109271,Zhx1,C57BL,Early Adult,IMPC_HEM_005_001,0.3067297,Mean cell volume
63m9ny3u1mfu1us,MGI:2385261,Cnot3,C57BL,Early Adult,JAX_TLS_001_001,0.3175308,Time immobile
63mxhjz1z80ig0w,MGI:1333114,Pigq,C57BL,E12.5,IMPC_OFD_010_001,0.935402,Periphery distance travelled
63my17q63f88m75,MGI:1920150,Ndufv2,C57BL,Middle Aged Adult,ESLIM_008_001_016,0.6805586,Trunk curl
63n3hb7s69h2b6a,MGI:96877,Klrb1,C57BL,Middle Aged Adult,IMPC_EYE_062_001,0.6065171,Right total retinal thickness
63nwb1zm32cc0h6,MGI:2387404,Catsper2,C57BL,Early Adult,IMPC_GEO_009_002,0.9170337,Hemorrhage
63onuvfw83g50sh,MGI:1342273,Gsto1,C57BL,Middle Aged Adult,IMPC_CBC_012_001,0.1202446,Aspartate aminotransferase
63p90j2b8y9h972,MGI:104899,Mob4,C57BL,Early Adult,IMPC_EYE_054_001,0.1027393,Min left eye lens density
63q3l7ie77543s3,MGI:1859545,Syt7,C57BL,Early Adult,IMPC_XRY_018_001,0.1876779,Shape of vertebrae
63q3xuom5qt710a,MGI:1276578,Gfi1b,C57BL,Early Adult,IMPC_ACS_036_001,0.4337158,% Pre-pulse inhibition - PPI4
63q7l9ml2g1xg74,MGI:2444155,Nmnat2,C57BL,E15.5,HRWLLA_DXA_008_001,0.5504623,Lean/Body weight
63qfkp3j4z0y8e9,MGI:105120,Dusp1,C57BL,Early Adult,ESLIM_006_001_019,0.5243936,Skull shape
63r8358rl2156s4,MGI:2442190,Camk1d,C57BL,Early Adult,IMPC_FEA_106_001,0.6613013,Difference in Cue Tone and Cue Baseline % Freezing
63s0hc391vflt4y,MGI:1915806,Uckl1,C57BL,Early Adult,IMPC_CSD_033_001,0.63703,Gait
63s97o1hx2472gm,MGI:96877,Klrb1,C57BL,Middle Aged Adult,IMPC_CBC_009_001,0.5647113,Calcium
63s9msp0r53gms1,MGI:109555,Psmc2,C57BL,Early Adult,IMPC_CSD_037_001,0.2426824,Unexpected behaviors
63sse5h52758897,MGI:891978,Phyh,C57BL,Early Adult,IMPC_GEL_063_001,0.3702431,Delayed embryonic development
63sy5a760u6z0k7,MGI:2151110,Prelp,C57BL,Early Adult,ESLIM_007_001_005,0.5433955,Whole arena average speed
63t58w7y7o074bx,MGI:1355329,Mink1,C57BL,Early Adult,IMPC_EYE_004_001,0.6819443,Eyelid morphology
63u9859bxsi4700,MGI:97742,Pomc,C57BL,Middle Aged Adult,IMPC_ACS_033_001,0.1508945,% Pre-pulse inhibition - PPI1
